Channel,ThetaPower,AlphaPower,BetaPower
Fp1,4.88862323760986,1.3895046710968,1.15585088729858
Fp2,5.99665546417236,1.83424508571625,1.43033504486084
F3,5.93248319625854,2.27195692062378,2.8664116859436
F4,4.11986017227173,1.60131967067719,2.25451564788818
C3,2.74036359786987,1.22001385688782,1.90526103973389
C4,2.83701157569885,1.14936804771423,1.86676752567291
P3,5.81614112854004,1.71467590332031,1.54879939556122
P4,5.85054969787598,1.74441957473755,1.45401537418365
O1,7.01347732543945,2.51937127113342,2.35105419158936
O2,7.84969043731689,2.55390810966492,2.1812903881073
F7,7.43519020080566,2.07850861549377,2.07347202301025
F8,5.99178409576416,1.91776120662689,2.00600361824036
T3,3.38078355789185,1.12778449058533,1.40820777416229
T4,3.44376659393311,1.39873814582825,2.17329263687134
T5,6.20519638061523,3.54049110412598,4.11459732055664
T6,5.16220951080322,2.21605038642883,2.11066865921021
Fz,5.72131443023682,1.80097258090973,1.67230594158173
Cz,4.35466480255127,1.25019192695618,1.96291828155518
Pz,7.77225971221924,1.64293253421783,1.06288993358612
