Channel,ThetaPower,AlphaPower,BetaPower
Fp1,4.86536645889282,1.38139462471008,1.15404057502747
Fp2,5.95670509338379,1.82021307945251,1.42270016670227
F3,5.92576742172241,2.26914525032043,2.86515736579895
F4,4.11702728271484,1.60018980503082,2.25313401222229
C3,2.74041175842285,1.22002947330475,1.90503799915314
C4,2.83429336547852,1.14948809146881,1.86839354038239
P3,5.80743503570557,1.71197485923767,1.54819858074188
P4,5.83726644515991,1.74093508720398,1.45307290554047
O1,7.00866603851318,2.51678609848022,2.34917306900024
O2,7.84341955184937,2.55124759674072,2.17949151992798
F7,7.42468643188477,2.07461500167847,2.07128095626831
F8,5.97653579711914,1.91215860843658,2.00241565704346
T3,3.37982487678528,1.12643074989319,1.40589952468872
T4,3.44326019287109,1.39913403987885,2.17366218566895
T5,6.19813823699951,3.53676819801331,4.11099672317505
T6,5.16231298446655,2.21601533889771,2.11113810539246
Fz,5.71630859375,1.79876112937927,1.67131459712982
Cz,4.3537392616272,1.25058794021606,1.96385478973389
Pz,7.75499439239502,1.63864040374756,1.06157457828522
