Channel,ThetaPower,AlphaPower,BetaPower
Fp1,0.773496389389038,3.84260129928589,2.29556155204773
Fp2,0.899425506591797,3.57444286346436,2.67572355270386
F3,2.49532175064087,4.80192279815674,6.31539678573608
F4,1.53143227100372,3.86148238182068,3.94181776046753
C3,1.47138905525208,4.91639947891235,9.29243850708008
C4,1.69172787666321,5.33926391601562,7.15168428421021
P3,2.20838308334351,5.19121837615967,6.20329713821411
P4,1.28715753555298,7.97746896743774,5.41880941390991
O1,2.33685708045959,13.7818870544434,4.40758800506592
O2,4.32775211334229,22.3436241149902,4.96293830871582
F7,0.645235657691956,3.21841669082642,1.88401579856873
F8,2.52995204925537,5.35329294204712,4.39444208145142
T3,1.39736270904541,3.14387321472168,4.0127911567688
T4,2.40322399139404,3.18317079544067,4.44424104690552
T5,2.05651330947876,11.2589979171753,6.21060085296631
T6,1.46946477890015,6.85616540908813,3.88783717155457
Fz,2.83781337738037,5.5349292755127,6.20846223831177
Cz,1.8160594701767,4.70531129837036,4.57615375518799
Pz,1.22695577144623,5.06879901885986,3.55079913139343
