Channel,ThetaPower,AlphaPower,BetaPower
Fp1,1.35266470909119,7.21716976165771,1.62923121452332
Fp2,1.8798623085022,7.7127046585083,2.10626935958862
F3,2.85368490219116,9.62037658691406,4.64280605316162
F4,2.72667717933655,9.77262878417969,4.12116384506226
C3,2.12227773666382,10.3697195053101,6.22813320159912
C4,1.9465868473053,11.0320930480957,6.87455749511719
P3,2.57004928588867,16.3328151702881,4.64637088775635
P4,2.76173663139343,19.7097225189209,5.62368059158325
O1,6.57455444335938,38.2205543518066,6.28300523757935
O2,6.19291877746582,42.1950569152832,7.49725389480591
F7,1.35600805282593,6.24040222167969,1.87337863445282
F8,3.3771960735321,8.94210433959961,3.72540807723999
T3,2.47587585449219,7.97434902191162,4.11091804504395
T4,3.55540180206299,8.95668792724609,7.1480860710144
T5,3.46772050857544,23.4148750305176,4.83959817886353
T6,2.65137982368469,15.9055891036987,3.94744801521301
Fz,2.98469638824463,10.7523756027222,2.66440200805664
Cz,2.70607948303223,12.0435600280762,4.12210941314697
Pz,2.94084548950195,18.0040302276611,3.48667907714844
