Channel,ThetaPower,AlphaPower,BetaPower
Fp1,2.14648818969727,13.6296834945679,4.06550455093384
Fp2,4.68856954574585,21.0164661407471,9.31167793273926
F3,4.78878116607666,14.030948638916,7.94972229003906
F4,4.54245662689209,17.8827495574951,9.15492153167725
C3,4.00685691833496,31.6227073669434,10.0663566589355
C4,4.68152046203613,30.4881401062012,10.1721267700195
P3,3.70200800895691,32.9639434814453,8.95785617828369
P4,3.54493808746338,35.0824165344238,7.34076070785522
O1,5.35197973251343,34.101016998291,6.4709005355835
O2,5.44166374206543,30.04758644104,6.75829172134399
F7,3.44952297210693,17.3317623138428,7.69472646713257
F8,3.91728782653809,15.4310703277588,7.3252329826355
T3,3.06421136856079,17.2543563842773,5.38035345077515
T4,3.25089311599731,13.2213249206543,6.1921329498291
T5,4.89195728302002,35.1223907470703,6.883957862854
T6,4.61446952819824,29.5280799865723,6.85792255401611
Fz,5.73088312149048,16.822639465332,7.1329174041748
Cz,4.39892435073853,22.6877822875977,8.49392986297607
Pz,3.74359750747681,37.7962951660156,5.8947958946228
