Channel,ThetaPower,AlphaPower,BetaPower
Fp1,2.54197430610657,9.73077964782715,2.76615762710571
Fp2,2.75950145721436,12.3524856567383,3.1758759021759
F3,2.77736711502075,8.53718090057373,5.38845014572144
F4,3.51864504814148,11.9733667373657,5.77464532852173
C3,1.79646384716034,4.76364469528198,3.1464536190033
C4,2.06280326843262,5.37268733978271,3.24443387985229
P3,3.19760823249817,12.644362449646,3.96027207374573
P4,2.57714128494263,9.6005277633667,3.23895502090454
O1,4.09862422943115,21.2043304443359,3.94748306274414
O2,3.3879292011261,16.8074398040771,3.30411911010742
F7,6.97118186950684,14.490948677063,5.55094623565674
F8,4.16645050048828,12.0451774597168,4.10698938369751
T3,6.16398000717163,13.5200157165527,4.84707307815552
T4,2.99277877807617,7.33722829818726,3.17376351356506
T5,6.90662574768066,21.3346652984619,4.90731143951416
T6,5.35535335540771,19.9320449829102,3.85874962806702
Fz,3.6374409198761,12.186182975769,4.5069317817688
Cz,3.46997475624084,8.54118156433105,4.17725706100464
Pz,4.0047550201416,13.6437273025513,4.50275802612305
