Channel,ThetaPower,AlphaPower,BetaPower
Fp1,8.86771965026855,8.51147747039795,2.08306241035461
Fp2,15.8013639450073,13.0441122055054,3.05455374717712
F3,11.8074560165405,12.7828712463379,3.62666940689087
F4,19.2043685913086,16.259256362915,3.50656294822693
C3,10.1840486526489,8.70377922058105,3.48726892471313
C4,13.9987411499023,9.79443454742432,2.97813034057617
P3,17.5580024719238,14.5861825942993,2.9328248500824
P4,12.0639038085938,10.6565208435059,2.329097032547
O1,21.837194442749,18.9653930664062,3.15608072280884
O2,17.9162063598633,18.1411800384521,2.62604832649231
F7,12.7132263183594,9.08774852752686,3.09293007850647
F8,16.6853103637695,11.3925018310547,2.93750882148743
T3,12.9329967498779,9.88382720947266,10.8233327865601
T4,16.3761234283447,11.512152671814,3.58351993560791
T5,21.5509624481201,17.3844566345215,3.22390246391296
T6,14.7569313049316,14.2874822616577,3.17918372154236
Fz,12.5013151168823,12.4014959335327,2.64466381072998
Cz,10.0582275390625,10.1210842132568,4.03954553604126
Pz,14.9686946868896,14.729679107666,2.90569281578064
